iso_code,location,continent,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_vaccinations,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ABW,Aruba,North America,,,,,103093.0,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,
AFG,Afghanistan,Asia,156363.0,7284.0,3925.2309999999998,182.83100000000005,6874.0,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
AGO,Angola,Africa,64583.0,1718.0,1903.2070000000003,50.563999999999965,,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AIA,Anguilla,North America,,,,,1421.0,15125.0,,,,,,,,,,,,,81.88,
ALB,Albania,Europe,187363.0,2944.0,65216.60700000003,1024.6839999999997,1269877.0,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
AND,Andorra,Europe,15618.0,130.0,201902.94200000018,1680.6100000000038,4802.0,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
ARE,United Arab Emirates,Asia,740209.0,2137.0,74086.96400000002,213.8169999999999,18229073.0,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
ARG,Argentina,South America,5293989.0,116055.0,116081.43600000002,2544.7289999999994,59202881.0,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845
ARM,Armenia,Asia,315004.0,6532.0,106128.86100000015,2200.7399999999975,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
ATG,Antigua and Barbuda,North America,4072.0,104.0,41244.652000000024,1053.4100000000005,8107.0,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
AUS,Australia,Oceania,177393.0,1795.0,6878.848999999989,69.62300000000015,35922436.0,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944
AUT,Austria,Europe,856002.0,11419.0,94658.31599999993,1262.7500000000055,11602576.0,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AZE,Azerbaijan,Asia,539710.0,7182.0,52791.93000000001,702.5300000000011,7593339.0,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756
BDI,Burundi,Africa,20106.0,38.0,1640.5949999999998,3.1020000000000003,149.0,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433
BEL,Belgium,Europe,1403548.0,26105.0,120659.1849999999,2244.2019999999975,16893834.0,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BEN,Benin,Africa,24804.0,161.0,1992.119,12.932999999999995,,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
BES,Bonaire Sint Eustatius and Saba,North America,,,,,,26445.0,,,,,,,,,,,,,77.79,
BFA,Burkina Faso,Africa,15103.0,221.0,702.6089999999991,10.318999999999997,,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
BGD,Bangladesh,Asia,1570485.0,27887.0,9443.487000000006,167.61400000000003,46587220.0,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
BGR,Bulgaria,Europe,623946.0,24755.0,90470.84800000001,3589.471999999997,2793580.0,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816
BHR,Bahrain,Asia,276983.0,1393.0,158430.3599999996,796.7960000000019,2342105.0,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852
BHS,Bahamas,North America,22485.0,657.0,56649.530000000035,1655.2479999999991,2487.0,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
BIH,Bosnia and Herzegovina,Europe,257401.0,11717.0,78873.66400000003,3590.365999999997,93862.0,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
BLR,Belarus,Europe,608031.0,4696.0,64390.51100000001,497.34000000000316,,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823
BLZ,Belize,North America,27673.0,505.0,68342.75200000004,1247.2010000000007,122692.0,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BMU,Bermuda,North America,,,,,,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,
BOL,Bolivia,South America,515373.0,18942.0,43554.112,1600.8189999999981,2940834.0,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
BRA,Brazil,South America,21699031.0,608671.0,101400.45399999991,2844.3349999999987,197108436.0,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
BRB,Barbados,North America,19188.0,167.0,66692.60100000001,580.4540000000004,256360.0,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BRN,Brunei,Asia,13545.0,91.0,30677.30000000001,206.1099999999998,111198.0,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
BTN,Bhutan,Asia,2622.0,3.0,3361.9490000000033,3.846,862033.0,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654
BWA,Botswana,Africa,187281.0,2407.0,78123.58800000003,1004.0609999999998,10435.0,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
CAF,Central African Republic,Africa,11579.0,100.0,2353.465999999999,20.32499999999999,12887.0,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397
CAN,Canada,North America,1733440.0,29169.0,45535.44700000001,766.2329999999998,58964885.0,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929
CHE,Switzerland,Europe,884597.0,11265.0,101497.069,1292.513000000005,11088761.0,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955
CHL,Chile,South America,1701316.0,37795.0,88553.20200000008,1967.2069999999994,37376454.0,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHN,China,Asia,97134.0,4619.0,67.26300000000035,3.195999999999999,2222219000.0,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761
CIV,Cote d'Ivoire,Africa,61370.0,696.0,2268.4689999999987,25.751000000000005,2062409.0,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
CMR,Cameroon,Africa,104348.0,1731.0,3832.9000000000005,63.577999999999996,400.0,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563
COD,Democratic Republic of Congo,Africa,57587.0,1098.0,623.3939999999998,11.888999999999996,,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48
COG,Congo,Africa,17944.0,297.0,3171.9939999999997,52.51000000000001,1486.0,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574
COK,Cook Islands,Oceania,,,,,,17572.0,,,,,,,,,,,,,76.25,
COL,Colombia,South America,5009007.0,127417.0,97706.515,2485.440000000001,29654670.0,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767
COM,Comoros,Africa,4291.0,147.0,4829.741000000019,165.4650000000001,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554
CPV,Cape Verde,Africa,38233.0,349.0,68042.227,621.1379999999986,7462.0,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665
CRI,Costa Rica,North America,561829.0,7124.0,109325.39600000002,1386.2400000000002,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81
CUB,Cuba,North America,954342.0,8252.0,84324.463,729.1169999999995,22606207.0,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783
CUW,Curacao,North America,,,,,144614.0,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,
CYM,Cayman Islands,North America,,,,,15339.0,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,
CYP,Cyprus,Europe,125161.0,576.0,139687.81500000003,642.8159999999999,372739.0,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887
CZE,Czechia,Europe,1792707.0,30878.0,167159.1250000001,2879.148000000002,12432054.0,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9
DEU,Germany,Europe,4722102.0,96351.0,56282.18799999997,1148.417,112506008.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DJI,Djibouti,Africa,13489.0,183.0,13459.44199999996,182.60899999999992,,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524
DMA,Dominica,North America,4961.0,32.0,68738.57700000002,443.3899999999999,6417.0,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742
DNK,Denmark,Europe,399127.0,2727.0,68657.54600000007,469.06800000000163,7973732.0,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94
