country,gov_exp_on_edu_percent_of_gdp,gov_exp_on_edu_perc_per_student,gov_exp_per_stud_tertiary_perc,pupil_teacher_ratio_primary,youth_literacy_rate,continent,sub_region,gdp_growth_rate,gdp_per_cap_PPP,personal_income_tax_rate,debt_to_gdp,ease_of_doing_business,internet_speed,unemployment_rate,consumer_price_index,inflation_rates,coronavirus_cases,coronavirus_deaths,coronavirus_recovered,covid_vaccination_rate,coronavirus_vaccination_total,corruption_rank,population,gini_index,covid_death_rate,covid_cases_rate,covid_recovered
Afghanistan,3.2,11.3,58.2,49.0,47.0,Asia,Southern Asia,-1.93,1979,20.0,7.8,173,1902,11.2,124.0,1.56,157144,7307,69205,12.84,5116767,165,33.2,,220.09036144578312,4733.253012048192,2084.487951807229
Albania,3.9,8.0,13.8,18.0,99.0,Europe,Southern Europe,17.9,13295,23.0,77.9,82,6793,12.1,103.0,2.4,198292,3077,130009,72.46,2081782,104,2.85,33.2,1079.6491228070174,69576.14035087719,45617.19298245614
Algeria,6.1,17.9,,24.0,97.0,Africa,Northern Africa,6.4,10682,35.0,57.2,157,2112,11.4,235.0,4.12,209624,6041,97089,26.97,12032500,104,44.23,27.6,136.58150576531767,4739.407641872033,2195.093827718743
Angola,1.8,,82.1,50.0,77.0,Africa,Middle Africa,1.2,6198,25.0,120.0,177,3719,31.6,122.0,26.87,65105,1732,33242,26.6,9026310,142,33.0,51.3,52.484848484848484,1972.878787878788,1007.3333333333334
Argentina,4.8,20.6,16.9,17.0,100.0,Americas,South America,17.9,19687,35.0,102.0,126,6268,9.6,547.0,52.1,5324039,116505,4062245,147.0,67104574,78,45.38,42.9,2567.3204054649623,117321.264874394,89516.19656236227
Armenia,2.7,14.6,9.9,15.0,100.0,Asia,Western Asia,2.7,12593,22.0,62.79,47,5183,15.0,141.0,9.1,337005,7459,216778,37.43,1110891,60,2.96,29.9,2519.9324324324325,113853.04054054055,73235.81081081081
Australia,5.1,15.0,17.8,18.0,,Oceania,Australia and New Zealand,9.6,48698,45.0,24.8,14,11063,5.2,120.0,3.0,203650,1978,25486,151.0,38906974,11,25.68,34.4,77.02492211838006,7930.295950155763,992.4454828660437
Austria,5.2,27.7,36.2,10.0,,Europe,Western Europe,4.8,51936,55.0,83.9,27,14100,6.5,104.0,3.7,1107425,11825,637751,148.0,13412688,15,8.9,30.8,1328.6516853932583,124429.77528089887,71657.41573033707
Azerbaijan,2.7,,19.4,15.0,100.0,Asia,Western Asia,4.8,13700,25.0,20.1,34,5672,6.27,177.0,5.7,580507,7736,330279,102.0,10396037,129,10.07,26.6,768.2224428997021,57647.16981132075,32798.31181727905
Bangladesh,1.3,9.9,29.9,30.0,94.0,Asia,Southern Asia,5.47,4818,25.0,31.7,168,4176,5.3,304.0,5.59,1575185,27973,816250,55.76,92730087,146,165.0,32.4,169.53333333333333,9546.575757575758,4946.969696969697
Belgium,6.4,24.5,32.2,11.0,,Europe,Western Europe,4.7,48210,50.0,114.0,46,16276,6.3,114.0,4.16,1679861,26793,72744,147.0,17080315,15,11.52,27.2,2325.78125,145821.26736111112,6314.583333333334
Bolivia,,,,18.0,99.0,Americas,South America,21.91,7932,13.0,67.3,150,2689,5.6,105.0,0.49,532631,19113,358851,67.96,8041447,124,11.68,41.6,1636.38698630137,45601.969178082196,30723.544520547945
Brazil,6.1,21.5,33.0,20.0,99.0,Americas,South America,12.4,14064,27.5,88.83,124,6819,13.2,6019.0,10.67,22067630,613957,16779136,139.0,297960460,94,212.0,53.4,2896.0235849056603,104092.59433962264,79146.8679245283
Bulgaria,4.1,22.2,16.6,15.0,98.0,Europe,Eastern Europe,0.4,22384,10.0,23.5,61,15541,4.7,7557.0,6.0,684922,27891,394469,47.3,3262433,69,6.95,41.3,4013.093525179856,98549.92805755396,56758.12949640288
Cambodia,2.2,6.1,5.3,42.0,92.0,Asia,South-Eastern Asia,-3.1,4192,20.0,31.5,144,5430,0.31,189.0,2.96,120009,2918,44143,168.0,28510511,160,16.71,,174.6259724715739,7181.867145421903,2641.7115499700776
Canada,5.3,18.3,31.4,17.0,,Americas,Northern America,12.7,45857,33.0,118.0,23,16206,6.7,144.0,4.7,1774946,29580,1381016,158.0,60223639,11,38.01,33.3,778.2162588792423,46696.81662720337,36332.96500920811
Chile,5.4,18.7,20.3,18.0,99.0,Americas,South America,17.2,23325,40.0,33.0,59,9259,8.4,113.0,6.0,1751769,38218,1494284,210.0,40421676,25,19.46,44.4,1963.9260020554984,90018.96197327852,76787.4614594039
China,3.5,11.4,89.1,16.0,100.0,Asia,Eastern Asia,4.9,16411,45.0,66.8,31,7583,4.9,101.0,1.5,127631,4636,86689,171.0,2464330000,78,1444.0,38.5,3.210526315789474,88.3871191135734,60.03393351800554
